"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C2";"27pF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C3";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C4";"27pF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C5";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C6";"10nF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C7";"10uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C8";"10uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C9";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C10";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"C11";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"CAP-08604";"0.1uF";
"ESD1";"NUF2042XV6SOT563";"NUF2042XV6SOT563";"SOT563";"NUF2042XV6 - USB ESD protection, and Full-speed USB termination.";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";
"IC1";"FT232H";"FT232H";"LQFP48";"FTDI FT232H";"";"";
"JP1";"";"M06SMD-FEMALE-V2";"1X06-SMD-FEMALE-V2";"Header 6";"";"";
"L1";"600R/500ma";"INDUCTOR0603";"0603";"Inductors";"";"";
"LED1";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LED2";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LED3";"YELLOW";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"OSC1";"12Mhz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";
"R1";"10K";"10KOHM1/10W1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"12K";"RESISTOR0603";"0603-RES";"Resistor";"";"";
"R3";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R4";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"R5";"1k";"1K-1%";"0603-RES";"1k-ohm SMT";"RES-07856";"1k";
"U$2";"CC-BY-SA";"CC-BY-SA";"CC-BY-SA";"CC-BY-SA logo";"";"";
"USB1";"";"USB-MINIBTH-SLOT";"USB-MINI-AB-TH-MOLEX-SLOT";"USB Connectors";"";"";
